Occupation,Owns_House,Relationship_Type_Pookie,Family_Structure,Number_of_Vehicles_Owned,Gym_Category,Owns_Land,Land_Legal_Dispute,Personality_Type,Rural_or_Urban_Background,Education_Level,Age,Yearly_Inhand_Income_INR,Savings_in_Lakhs,Dahej_Category
Freelancer,No,Not Pookie,Nuclear,4,Obese,No,No,Virus,Gaon ka Chhora,Graduate+,25,15820459.0,182.29,5
Unemployed,Yes,Not Pookie,Joint,0,Passionate,No,No,Virus,Shehr ka Launda,12th Pass,22,0.0,0.0,0
Unemployed,Yes,Not Pookie,Joint,2,Optional,Yes,No,Chill,Gaon ka Chhora,12th Pass,31,0.0,3.41,1
Private Job,No,Not Pookie,Nuclear,4,Obese,No,No,Chill,Shehr ka Launda,Graduate+,29,10694351.0,145.72,4
Private Job,No,Not Pookie,Joint,2,Optional,Yes,No,Virus,Shehr ka Launda,12th Pass,25,1565864.0,13.09,2
Freelancer,Yes,Not Pookie,Joint,4,Obese,Yes,No,Virus,Shehr ka Launda,Graduate+,37,23113592.0,283.39,7
Private Job,Yes,Not Pookie,Nuclear,6,Passionate,No,No,Virus,Shehr ka Launda,Graduate+,25,31273284.0,367.62,9
Private Job,No,Not Pookie,Joint,3,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,29,10314686.0,150.19,3
Private Job,No,Not Pookie,Joint,0,Obese,No,No,Chill,Shehr ka Launda,Graduate+,22,3027724.0,43.82,0
Private Job,No,Not Pookie,Joint,1,Obese,No,No,Chill,Gaon ka Chhora,Uneducated,33,815052.0,13.07,0
Freelancer,No,Not Pookie,Joint,1,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,25,51650.0,2.94,2
Private Job,Yes,Not Pookie,Joint,4,Optional,No,No,Chill,Shehr ka Launda,Graduate+,22,16421172.0,164.85,6
Business,Yes,Not Pookie,Nuclear,1,Passionate,No,No,Virus,Gaon ka Chhora,Graduate+,25,3212.0,0.15,4
Private Job,No,Not Pookie,Nuclear,4,Optional,No,No,Chill,Gaon ka Chhora,10th Pass,28,927952.0,8.64,1
Private Job,Yes,Not Pookie,Nuclear,0,Optional,Yes,No,Chill,Gaon ka Chhora,12th Pass,29,590199.0,7.2,3
Private Job,Yes,NULL,Nuclear,1,Passionate,No,No,Virus,Shehr ka Launda,Graduate+,25,1126109.0,14.64,2
Unemployed,Yes,Not Pookie,Nuclear,0,Optional,Yes,No,Chill,Gaon ka Chhora,10th Pass,24,0.0,2.99,0
Unemployed,No,Not Pookie,Nuclear,??,Optional,No,No,Virus,Shehr ka Launda,12th Pass,26,0.0,0.0,0
Unemployed,No,Not Pookie,Nuclear,2,Optional,No,No,Chill,Shehr ka Launda,12th Pass,31,0.0,0.0,0
Freelancer,No,,Nuclear,1,Obese,No,No,"['weird', 123]",Gaon ka Chhora,Uneducated,22,5010.0,Virus,0
Unemployed,Yes,Not Pookie,Nuclear,1,Optional,No,No,Chill,Shehr ka Launda,Graduate+,24,0.0,0.0,0
Business,No,Not Pookie,Joint,1,Optional,N/A,No,Virus,Gaon ka Chhora,Graduate+,31,9518019.0,125.9,6
Private Job,Yes,Not Pookie,Nuclear,9,Obese,No,No,Chill,Shehr ka Launda,Graduate+,35,30572860.0,362.79,9
Unemployed,Yes,Not Pookie,Nuclear,2,Passionate,No,No,Chill,Gaon ka Chhora,12th Pass,24,0.0,0.16,0
Self-employed,Yes,Not Pookie,Nuclear,4,Obese,No,No,Virus,Shehr ka Launda,Graduate+,25,13529573.0,197.19,5
Private Job,No,Not Pookie,Nuclear,8,Optional,Yes,No,Virus,Gaon ka Chhora,Graduate+,29,22092388.0,282.75,7
Private Job,No,Not Pookie,Joint,2,Obese,No,No,Virus,Shehr ka Launda,12th Pass,35,4197832.0,55.92,1
Freelancer,No,Not Pookie,Nuclear,1,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,26,1507.0,1.18,1
Unemployed,Yes,Not Pookie,Joint,0,Passionate,No,No,Virus,Shehr ka Launda,12th Pass,31,0.0,0.0,0
Private Job,Yes,Not Pookie,Joint,3,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,30,17530932.0,240.66,5
Private Job,No,Not Pookie,Joint,1,Optional,No,No,Virus,Shehr ka Launda,Graduate+,27,4953356.0,56.06,1
Private Job,No,Not Pookie,Joint,4,Obese,No,No,Chill,Shehr ka Launda,Graduate+,22,22180273.0,234.98,4
Self-employed,No,Not Pookie,Alone,9,Passionate,No,No,Chill,Gaon ka Chhora,12th Pass,22,39840157.0,468.28,9
Private Job,Yes,Not Pookie,Joint,1,Optional,No,No,Chill,Gaon ka Chhora,1000000000000,-1,634523.0,8.92,2
Business,Yes,Not Pookie,Nuclear,5,Obese,No,No,Chill,Shehr ka Launda,Graduate+,26,20740926.0,260.88,8
Private Job,Yes,Not Pookie,Nuclear,5,Optional,No,No,Chill,Shehr ka Launda,10th Pass,39,26932713.0,342.45,7
Private Job,Yes,Pookie,Nuclear,2,Obese,No,Yes,Chill,Gaon ka Chhora,12th Pass,23,155507.0,0.9,0
Private Job,No,Not Pookie,Joint,1,Obese,No,No,Chill,Shehr ka Launda,Graduate+,29,4973863.0,66.42,2
Private Job,No,Not Pookie,Alone,0,Optional,No,No,Chill,Shehr ka Launda,12th Pass,24,662703.0,8.25,0
Freelancer,No,Not Pookie,Nuclear,2,Optional,Yes,No,Virus,Gaon ka Chhora,12th Pass,26,11877199.0,122.65,4
Private Job,Yes,Not Pookie,Alone,5,Optional,Yes,No,Virus,Gaon ka Chhora,10th Pass,31,25177580.0,296.66,7
Freelancer,Yes,Pookie,Joint,2,Passionate,No,No,Chill,Shehr ka Launda,12th Pass,30,13082717.0,161.89,6
Private Job,No,Not Pookie,Nuclear,1,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,26,480176.0,2.96,1
Self-employed,No,Not Pookie,Joint,0,Optional,Yes,No,Chill,Gaon ka Chhora,Graduate+,31,4219519.0,42.62,4
Business,No,Pookie,Joint,1,Passionate,No,No,Virus,Gaon ka Chhora,Graduate+,32,5863030.0,78.57,5
Private Job,No,Pookie,Joint,5,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,29,15108291.0,193.67,5
Freelancer,Yes,Pookie,Nuclear,5,Passionate,No,No,Chill,Shehr ka Launda,10th Pass,23,28782872.0,378.74,8
Private Job,Yes,Not Pookie,Alone,0,Passionate,Yes,No,Chill,Shehr ka Launda,Graduate+,19,1605800.0,21.16,3
Business,-1,Not Pookie,Joint,3,Optional,No,No,Virus,Gaon ka Chhora,-171,24,14947081.0,194.34,5
Private Job,Yes,Not Pookie,Joint,2,Passionate,No,No,Chill,Shehr ka Launda,12th Pass,32,78460.0,0.0,3
Private Job,Yes,Not Pookie,Joint,3,Optional,No,Yes,Chill,Gaon ka Chhora,Graduate+,27,8513566.0,110.06,4
Private Job,Yes,Not Pookie,Nuclear,0,Passionate,Yes,No,Chill,Gaon ka Chhora,10th Pass,31,66833.0,1.38,4
Self-employed,Yes,Not Pookie,Nuclear,2,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,28,6195211.0,68.56,5
Unemployed,No,Not Pookie,Nuclear,0,Obese,No,No,Virus,Shehr ka Launda,10th Pass,26,0.0,0.0,0
Private Job,Yes,Not Pookie,Nuclear,6,Passionate,No,No,Chill,Shehr ka Launda,10th Pass,28,34280823.0,453.0,9
Unemployed,Yes,Not Pookie,Nuclear,2,,Yes,No,Chill,Gaon ka Chhora,10th Pass,28,0.0,0.26,1
Unemployed,Yes,Pookie,Alone,0,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,32,0.0,0.0,0
Self-employed,Yes,Not Pookie,Nuclear,4,Passionate,Yes,No,Chill,Shehr ka Launda,12th Pass,26,21596772.0,288.22,9
Private Job,Yes,Not Pookie,Joint,9,Optional,No,No,Chill,Shehr ka Launda,12th Pass,21,40610978.0,536.62,8
Freelancer,Yes,Not Pookie,Nuclear,4,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,35,21630826.0,233.26,7
Private Job,Yes,Not Pookie,Joint,5,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,28,5702945.0,71.17,5
Business,No,Not Pookie,Alone,1,Optional,No,Yes,Virus,Gaon ka Chhora,Graduate+,23,1440798.0,14.19,1
Freelancer,No,Not Pookie,Nuclear,4,Optional,No,No,Chill,Shehr ka Launda,Graduate+,38,16436679.0,216.51,6
Unemployed,Yes,Not Pookie,Alone,2,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,31,0.0,3.65,0
Freelancer,No,Not Pookie,Nuclear,1,Optional,Yes,No,Virus,Shehr ka Launda,12th Pass,28,3867986.0,54.6,3
Private Job,No,Not Pookie,Nuclear,9,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,20,48308214.0,673.35,7
Unemployed,No,Pookie,Alone,1,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,30,0.0,0.48,0
Private Job,No,Not Pookie,Joint,1,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,37,760449.0,9.18,1
Private Job,Yes,Not Pookie,Nuclear,2,Obese,No,No,Virus,Gaon ka Chhora,12th Pass,31,5948480.0,86.89,3
Freelancer,Yes,Not Pookie,Nuclear,2,Optional,No,No,Chill,Shehr ka Launda,Graduate+,32,10463753.0,133.61,5
Private Job,Yes,Not Pookie,Nuclear,8,Optional,Yes,No,Virus,Shehr ka Launda,Graduate+,28,37775138.0,509.95,10
Self-employed,No,Not Pookie,Nuclear,1,Optional,No,No,Virus,Shehr ka Launda,12th Pass,30,7976125.0,89.15,3
Private Job,Yes,Not Pookie,Nuclear,11,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,26,41393910.0,503.11,9
Private Job,No,Not Pookie,Joint,1,Passionate,No,No,Chill,Shehr ka Launda,12th Pass,29,5019327.0,61.3,3
Private Job,No,Not Pookie,Nuclear,0,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,23,148434.0,3.45,0
Private Job,No,Not Pookie,Joint,9,Optional,Yes,No,Chill,Shehr ka Launda,12th Pass,29,45019626.0,535.85,9
Self-employed,Yes,Not Pookie,Joint,9,Passionate,No,No,Chill,Gaon ka Chhora,12th Pass,30,46155954.0,564.14,10
Private Job,Yes,Not Pookie,Joint,,Optional,Yes,No,Chill,Gaon ka Chhora,Graduate+,30,532025.0,123,4
Unemployed,Yes,Not Pookie,Nuclear,1,Passionate,No,No,Chill,Shehr ka Launda,12th Pass,23,0.0,0.45,0
Private Job,Yes,Not Pookie,Nuclear,1,Obese,No,No,Chill,Shehr ka Launda,12th Pass,21,836458.0,11.79,1
Government Job,Yes,Not Pookie,Nuclear,3,Optional,Yes,No,Virus,Gaon ka Chhora,Graduate+,32,11008399.0,138.85,7
Business,Yes,Not Pookie,Joint,0,Obese,No,No,Virus,Gaon ka Chhora,Uneducated,24,812198.0,9.95,1
Unemployed,Yes,Not Pookie,Joint,1,Obese,No,No,Chill,Shehr ka Launda,10th Pass,26,0.0,0.0,0
Business,No,Pookie,Alone,0,Optional,Yes,No,Chill,Shehr ka Launda,12th Pass,24,311582.0,0.0,3
Self-employed,No,Not Pookie,Joint,1,Obese,No,No,Chill,Shehr ka Launda,12th Pass,34,11678.0,0.0,1
Business,Yes,Not Pookie,Nuclear,2,Obese,No,No,Chill,Shehr ka Launda,12th Pass,21,74887.0,1.81,3
Government Job,Yes,Not Pookie,Nuclear,5,Obese,No,No,Chill,Shehr ka Launda,12th Pass,30,26096156.0,264.19,7
Freelancer,No,Not Pookie,Nuclear,10,Passionate,No,No,Chill,Shehr ka Launda,10th Pass,21,38826005.0,565.9,8
Business,No,Pookie,Joint,3,Obese,Yes,No,Virus,Shehr ka Launda,10th Pass,23,11793861.0,142.76,5
Self-employed,No,Not Pookie,Joint,0,Optional,No,No,Chill,Shehr ka Launda,Graduate+,31,3986270.0,44.73,3
Private Job,Yes,Not Pookie,Nuclear,1,Optional,Yes,No,Chill,Gaon ka Chhora,10th Pass,32,1089269.0,11.27,4
Private Job,Yes,Not Pookie,Nuclear,5,Optional,No,No,Chill,Shehr ka Launda,Graduate+,33,22432132.0,328.95,8
Government Job,No,Not Pookie,Nuclear,0,Optional,No,No,Chill,Shehr ka Launda,10th Pass,27,1122464.0,17.22,3
Freelancer,Yes,Not Pookie,Joint,2,Passionate,No,No,Chill,Gaon ka Chhora,12th Pass,27,830543.0,7.71,3
Unemployed,No,Not Pookie,Nuclear,0,Optional,No,No,Chill,Shehr ka Launda,Graduate+,29,0.0,0.78,0
Private Job,No,Pookie,Nuclear,1,Passionate,No,No,Chill,Shehr ka Launda,12th Pass,33,404812.0,5.17,1
Private Job,No,Not Pookie,Joint,2,Passionate,No,No,Chill,Gaon ka Chhora,Uneducated,20,828788.0,10.78,0
Private Job,Yes,Not Pookie,Nuclear,1,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,30,8527122.0,87.02,4
Private Job,Yes,Not Pookie,Nuclear,2,Optional,No,No,Virus,Gaon ka Chhora,12th Pass,31,675.0,0.0,1
Private Job,Yes,Not Pookie,Nuclear,2,Passionate,No,No,Chill,Shehr ka Launda,Graduate+,19,13789962.0,154.66,4
Business,Yes,Pookie,Nuclear,3,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,30,282872.0,0.59,4
Private Job,Yes,Not Pookie,Joint,0,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,31,2289509.0,28.09,2
Private Job,Yes,Not Pookie,Nuclear,0,Obese,No,No,Chill,Gaon ka Chhora,Uneducated,33,4153868.0,50.0,2
Government Job,Yes,Not Pookie,Joint,1,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,32,187951.0,2.43,4
,Yes,Not Pookie,N/A,3,Passionate,Yes,No,Virus,,Graduate+,36,14428350.0,204.24,7
Business,No,Not Pookie,Nuclear,9,Optional,No,No,Chill,Shehr ka Launda,12th Pass,31,38149104.0,497.3,10
Business,Yes,Not Pookie,Nuclear,2,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,32,104504.0,0.0,3
Freelancer,No,Not Pookie,Alone,0,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,35,1158483.0,13.03,2
Business,No,Not Pookie,Joint,5,Optional,No,No,Chill,Shehr ka Launda,Graduate+,29,19364602.0,270.35,7
Self-employed,No,Pookie,Joint,3,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,31,13767300.0,187.49,4
Freelancer,Yes,Not Pookie,Joint,1,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,32,390213.0,8.34,2
Business,No,Not Pookie,Alone,5,Optional,Yes,No,Chill,Gaon ka Chhora,10th Pass,28,20887489.0,229.35,8
Freelancer,No,Not Pookie,Joint,,N/A,Yes,1000000000,Virus,Gaon ka Chhora,12th Pass,25,25280328.0,286.22,6
Freelancer,Yes,Not Pookie,Joint,2,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,39,7553930.0,110.72,4
Self-employed,Yes,Not Pookie,Joint,5,Passionate,No,No,Virus,Gaon ka Chhora,12th Pass,27,26377386.0,365.43,8
Private Job,No,Not Pookie,Joint,5,Optional,No,No,Chill,Shehr ka Launda,Graduate+,29,28696770.0,429.16,7
Freelancer,No,Pookie,Joint,4,Passionate,No,No,Virus,Gaon ka Chhora,Graduate+,32,15597493.0,204.45,6
Private Job,Yes,Not Pookie,Nuclear,3,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,29,151502.0,0.0,2
Private Job,No,Not Pookie,Joint,1,Obese,No,No,Chill,Shehr ka Launda,Graduate+,26,2338135.0,28.38,1
Private Job,No,Not Pookie,Nuclear,9,Obese,No,No,Chill,Shehr ka Launda,10th Pass,26,48810814.0,719.18,7
Business,Yes,Not Pookie,Nuclear,5,Optional,Yes,No,Chill,Gaon ka Chhora,12th Pass,34,29622451.0,413.14,10
Unemployed,No,Not Pookie,Joint,0,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,30,0.0,1.53,0
Private Job,No,Not Pookie,Nuclear,1,Obese,No,No,Chill,Shehr ka Launda,Uneducated,30,462272.0,7.26,0
Private Job,No,Not Pookie,Joint,NULL,Optional,No,No,Chill,Gaon ka Chhora,10th Pass,21,14412.0,0.0,0
Freelancer,Yes,Pookie,Alone,2,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,28,5632323.0,70.2,5
Freelancer,Yes,Not Pookie,Nuclear,10,Optional,No,No,Virus,Shehr ka Launda,Graduate+,23,48487998.0,708.18,9
Business,Yes,Not Pookie,Alone,8,Optional,No,No,Chill,Shehr ka Launda,Graduate+,25,38791379.0,491.38,10
Unemployed,Yes,Not Pookie,Joint,0,Passionate,No,No,Chill,Gaon ka Chhora,Graduate+,27,0.0,1.98,0
Unemployed,No,Not Pookie,Nuclear,0,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,30,0.0,0.35,0
Self-employed,Yes,Not Pookie,Nuclear,2,Optional,Yes,No,Chill,Gaon ka Chhora,Uneducated,30,11351023.0,132.22,7
Private Job,Yes,Not Pookie,Nuclear,1,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,37,9592.0,0.0,1
Freelancer,No,Not Pookie,Nuclear,9,Optional,No,Yes,Chill,Shehr ka Launda,12th Pass,24,39296854.0,463.7,6
Government Job,Yes,Not Pookie,Joint,0,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,33,4901572.0,70.59,4
Business,Yes,Not Pookie,Joint,4,Obese,Yes,No,Virus,Gaon ka Chhora,12th Pass,30,20663397.0,211.94,8
Business,No,Not Pookie,Alone,0,Obese,No,Yes,Virus,Shehr ka Launda,Graduate+,29,3191711.0,43.05,0
Unemployed,Yes,Not Pookie,Nuclear,2,Obese,No,No,Virus,Shehr ka Launda,Graduate+,27,0.0,0.0,0
Business,No,Not Pookie,Joint,4,Optional,No,No,Chill,Shehr ka Launda,12th Pass,26,5390312.0,63.56,5
Unemployed,No,Pookie,Joint,0,Obese,No,No,Virus,Shehr ka Launda,10th Pass,29,0.0,0.0,0
Unemployed,Yes,Not Pookie,Joint,0,Optional,No,No,Chill,Shehr ka Launda,Uneducated,28,0.0,0.0,0
Private Job,Yes,Not Pookie,Nuclear,0,Optional,No,No,Chill,Shehr ka Launda,Graduate+,33,612607.0,5.33,2
Private Job,Yes,Pookie,Nuclear,2,Obese,No,No,Virus,Shehr ka Launda,12th Pass,29,9720371.0,131.14,3
Freelancer,Yes,Not Pookie,Joint,4,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,22,18175351.0,271.44,6
Private Job,Yes,Not Pookie,Joint,9,Passionate,Yes,No,Chill,Shehr ka Launda,Graduate+,24,49698817.0,668.23,10
Private Job,No,Not Pookie,Joint,4,Obese,No,No,Virus,Gaon ka Chhora,Graduate+,23,16822207.0,226.2,4
Unemployed,No,Not Pookie,Nuclear,2,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,34,0.0,0.0,0
Private Job,Yes,Not Pookie,Nuclear,4,Obese,No,No,Virus,Shehr ka Launda,10th Pass,22,18823840.0,199.57,4
Private Job,No,Not Pookie,Nuclear,0,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,35,4144.0,0.0,0
Private Job,No,Not Pookie,Alone,0,Optional,No,No,Virus,Gaon ka Chhora,10th Pass,30,1362742.0,15.97,0
Unemployed,No,Not Pookie,Nuclear,0,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,26,0.0,0.0,0
Private Job,Yes,Not Pookie,Nuclear,0,Passionate,No,No,Chill,Shehr ka Launda,10th Pass,23,3954470.0,56.48,3
Business,Yes,Not Pookie,Joint,2,Obese,No,No,Chill,Shehr ka Launda,12th Pass,30,4112010.0,62.0,4
Self-employed,No,Not Pookie,Nuclear,1,Optional,No,No,Chill,Shehr ka Launda,Graduate+,35,2168075.0,31.22,3
Private Job,Yes,Not Pookie,Nuclear,8,Obese,No,No,Virus,Shehr ka Launda,Graduate+,29,40114898.0,462.83,8
Private Job,No,Not Pookie,,4,N/A,Yes,No,Chill,Shehr ka Launda,Graduate+,25,8220794.0,89.43,5
Private Job,No,Pookie,Nuclear,4,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,36,7829346.0,90.21,4
Private Job,No,Pookie,Joint,1,Optional,No,No,Chill,Shehr ka Launda,Graduate+,18,2892018.0,40.59,1
Private Job,Yes,Not Pookie,Nuclear,2,Optional,No,No,Chill,Shehr ka Launda,Graduate+,19,327.0,0.19,1
Freelancer,No,Not Pookie,Nuclear,0,Passionate,No,No,Chill,Gaon ka Chhora,12th Pass,33,30792.0,0.39,2
Self-employed,Yes,Not Pookie,Joint,3,Optional,No,No,Chill,Gaon ka Chhora,10th Pass,35,19632960.0,241.71,7
Business,No,Pookie,Nuclear,2,Obese,No,No,Virus,Shehr ka Launda,10th Pass,21,10970580.0,152.74,3
Private Job,Yes,Not Pookie,Nuclear,6,Optional,Yes,No,Chill,Gaon ka Chhora,Graduate+,37,27194397.0,405.38,9
Private Job,Yes,Not Pookie,Joint,4,Optional,No,No,Virus,Shehr ka Launda,Uneducated,24,18745816.0,245.0,5
Private Job,Yes,Not Pookie,Alone,0,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,26,128172.0,3.71,2
Business,No,Not Pookie,Joint,1,Optional,No,No,Chill,Gaon ka Chhora,Uneducated,33,728097.0,10.67,2
Private Job,Yes,Not Pookie,Joint,3,Optional,No,No,Virus,Shehr ka Launda,12th Pass,25,10245096.0,109.86,4
Private Job,Yes,Not Pookie,Joint,1,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,99999,589809.0,7.15,2
Self-employed,No,Not Pookie,Nuclear,2,Optional,No,Nox,Chill,Gaon ka Chhora,1000000000,21,7019198.0,83.29,4
Private Job,No,Not Pookie,Nuclear,0,Passionate,No,No,Chill,Shehr ka Launda,Graduate+,21,244.0,2.62,1
Self-employed,Yes,Pookie,Nuclear,2,Passionate,No,No,Chill,Shehr ka Launda,Graduate+,28,7202067.0,103.36,7
Business,Yes,Not Pookie,Nuclear,2,Obese,No,No,Chill,Shehr ka Launda,12th Pass,23,5444793.0,54.2,5
Private Job,Yes,Not Pookie,Joint,5,Obese,Yes,No,Chill,Gaon ka Chhora,Graduate+,26,19110363.0,211.51,8
Private Job,Yes,Not Pookie,Nuclear,9,Passionate,No,No,Virus,Shehr ka Launda,12th Pass,31,41107552.0,578.76,9
Business,Yes,Not Pookie,Nuclear,3,Passionate,No,No,Chill,Shehr ka Launda,10th Pass,20,5147863.0,56.81,6
Private Job,Yes,Not Pookie,Joint,2,Optional,Yes,No,Chill,Shehr ka Launda,Graduate+,28,6884067.0,72.75,6
Government Job,Yes,Not Pookie,Joint,2,Passionate,No,No,Chill,Shehr ka Launda,Graduate+,33,5555474.0,78.12,7
Business,Yes,Not Pookie,Joint,5,Optional,Yes,Yes,Virus,Gaon ka Chhora,Graduate+,24,29615237.0,358.73,8
Private Job,Yes,Not Pookie,Nuclear,3,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,26,3396889.0,38.02,2
Private Job,Yes,Not Pookie,Nuclear,9,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,29,43636195.0,598.51,9
Unemployed,Yes,Not Pookie,Nuclear,1,Obese,No,No,Chill,Gaon ka Chhora,10th Pass,40,0.0,0.0,0
Private Job,Yes,Not Pookie,Joint,0,Optional,No,No,Virus,Shehr ka Launda,12th Pass,31,9979.0,0.0,1
Private Job,No,Not Pookie,Alone,1,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,22,4283614.0,55.89,1
Private Job,Yes,Not Pookie,Nuclear,3,Obese,No,No,Chill,Shehr ka Launda,10th Pass,24,110557.0,5.11,1
Private Job,Yes,Not Pookie,Nuclear,1,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,23,5601964.0,77.13,3
Business,No,Not Pookie,Nuclear,1,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,39,9235.0,0.0,2
Private Job,Yes,Pookie,Joint,9,Obese,No,No,Virus,Gaon ka Chhora,Graduate+,26,27501521.0,373.7,7
Unemployed,Yes,Pookie,Nuclear,,Passionate,No,No,,Gaon ka Chhora,12th Pass,26,0.0,0.0,1
Private Job,Yes,Not Pookie,Nuclear,1,Optional,Yes,No,Chill,Gaon ka Chhora,Graduate+,18,32418.0,0.0,3
Self-employed,No,Not Pookie,Nuclear,2,Optional,Yes,No,Chill,Gaon ka Chhora,12th Pass,26,2886268.0,32.78,4
Private Job,Yes,Not Pookie,Nuclear,2,Passionate,No,No,Virus,Gaon ka Chhora,10th Pass,24,12856989.0,157.12,3
Business,No,Not Pookie,Joint,5,Obese,No,No,Chill,Gaon ka Chhora,Graduate+,31,18957418.0,242.48,7
Business,No,Pookie,Nuclear,0,Passionate,No,No,Chill,Gaon ka Chhora,12th Pass,25,1654.0,1.88,3
Private Job,No,Not Pookie,Nuclear,4,Optional,No,No,Chill,Shehr ka Launda,10th Pass,28,14654143.0,189.5,4
Self-employed,No,Not Pookie,Joint,7,Obese,Yes,No,Chill,Shehr ka Launda,12th Pass,24,34734930.0,492.59,9
Self-employed,No,Not Pookie,Nuclear,5,Passionate,Yes,No,Chill,Gaon ka Chhora,12th Pass,31,26378430.0,370.02,9
Self-employed,Yes,Not Pookie,Nuclear,1,Obese,No,No,Chill,Gaon ka Chhora,12th Pass,30,6920517.0,92.46,5
Freelancer,Yes,Not Pookie,Joint,5,Passionate,Yes,N/A,Chill,Shehr ka Launda,10th Pass,40,26134551.0,311.87,9
Private Job,No,Not Pookie,Alone,7,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,30,36931660.0,434.97,8
Business,Yes,Not Pookie,Nuclear,1,Optional,Yes,No,Chill,Gaon ka Chhora,Uneducated,24,3310934.0,34.26,5
Freelancer,Yes,Not Pookie,Joint,1,Optional,No,No,Chill,Gaon ka Chhora,12th Pass,32,396524.0,5.87,2
Private Job,No,Not Pookie,Joint,10,Optional,No,No,Chill,Gaon ka Chhora,Graduate+,27,49331996.0,565.68,8
Private Job,Yes,Not Pookie,Joint,3,Passionate,Yes,No,Chill,Gaon ka Chhora,12th Pass,26,16202651.0,228.89,8
Private Job,No,Not Pookie,Alone,4,Passionate,No,No,Chill,Gaon ka Chhora,12th Pass,18,23235312.0,306.14,5
Freelancer,Yes,Not Pookie,Nuclear,4,Optional,Yes,Yes,Chill,Gaon ka Chhora,Graduate+,32,17556041.0,242.47,7
Self-employed,No,Not Pookie,Nuclear,2,Passionate,No,No,Chill,Shehr ka Launda,10th Pass,26,273207.0,4.01,2
Private Job,No,Not Pookie,Nuclear,7,Passionate,No,No,Chill,Gaon ka Chhora,12th Pass,29,22954093.0,316.27,7
Private Job,Yes,Not Pookie,27,0,Passionate,"['weird', 123]",No,Chill,Shehr ka Launda,12th Pass,Joint,17734.0,2.82,2
Unemployed,Yes,Not Pookie,Nuclear,2,Passionate,No,No,Chill,Gaon ka Chhora,12th Pass,28,0.0,2.61,0
Private Job,No,Not Pookie,Nuclear,1,Obese,Yes,No,Chill,Shehr ka Launda,10th Pass,28,1473358.0,21.25,2
Government Job,Yes,Not Pookie,Joint,6,Passionate,Yes,No,Chill,Shehr ka Launda,12th Pass,26,32978138.0,429.43,10
Private Job,Yes,Not Pookie,Nuclear,2,Optional,No,No,Virus,Gaon ka Chhora,Graduate+,35,31570.0,0.79,2
Self-employed,Yes,Not Pookie,Joint,0,Obese,No,No,Chill,Shehr ka Launda,Graduate+,29,530277.0,5.64,3
Private Job,Yes,Not Pookie,Nuclear,9,Obese,No,No,Chill,Shehr ka Launda,10th Pass,29,47571725.0,481.78,8
Private Job,No,Pookie,Joint,3,Passionate,No,No,Virus,Gaon ka Chhora,Graduate+,32,9708297.0,104.06,4
Unemployed,Yes,Not Pookie,Nuclear,0,Optional,No,Yes,Virus,Gaon ka Chhora,12th Pass,25,0.0,0.0,0
